gen#;sumfit;avgfit;minfit;maxfit
60;5.5992;0.55992;0.105185;1.00186
61;4.47703;0.447703;0.105185;0.937677
62;3.67024;0.367024;0.0511233;0.683098
63;2.97709;0.297709;0.0511233;0.68036
64;1.7127;0.17127;0.0511233;0.328087
65;1.45856;0.145856;0.0288202;0.400469
66;1.47525;0.147525;0.0244209;0.644325
67;1.11115;0.111115;0.0244209;0.292404
68;1.00293;0.100293;0.0244209;0.22666
69;0.876144;0.0876144;0.0244209;0.203298
70;1.06089;0.106089;0.00734051;0.3478
71;0.680004;0.0680004;0.00734051;0.203304
72;0.843914;0.0843914;0.00734051;0.269996
73;0.676224;0.0676224;0.00734051;0.27559
74;0.520411;0.0520411;0.00734051;0.0984575
75;0.436674;0.0436674;0.00349973;0.171528
76;0.300565;0.0300565;0.00349973;0.0586225
77;0.37767;0.037767;0.00221725;0.140031
78;0.188788;0.0188788;0.00221725;0.0633417
79;0.234472;0.0234472;0.0020442;0.111749
80;0.209214;0.0209214;0.00128065;0.0627842
81;0.0758037;0.00758037;0.00116973;0.0248254
82;0.0862808;0.00862808;0.000237815;0.03866
83;0.0367344;0.00367344;0.000237815;0.0103334
84;0.0360144;0.00360144;0.000237815;0.0103334
85;0.038327;0.0038327;0.000232182;0.00879804
86;0.0251532;0.00251532;0.000232182;0.0104172
87;0.0249063;0.00249063;0.000159187;0.01053
88;0.0118008;0.00118008;0.000159187;0.00224533
89;0.0130084;0.00130084;0.000159187;0.00224533
90;0.0121955;0.00121955;0.000159187;0.00397466
91;0.0196346;0.00196346;0.000147023;0.00533595
92;0.0219059;0.00219059;0.000147023;0.00519865
93;0.0138667;0.00138667;0.000147023;0.00467695
94;0.014989;0.0014989;8.79346e-005;0.00467695
95;0.0114737;0.00114737;8.79346e-005;0.00467695
96;0.00911677;0.000911677;8.79346e-005;0.00422171
97;0.0101367;0.00101367;4.46736e-005;0.00246943
98;0.0105621;0.00105621;4.46736e-005;0.00307095
99;0.00823937;0.000823937;4.46736e-005;0.00246943
100;0.00800068;0.000800068;4.46736e-005;0.00354997
101;0.00187824;0.000187824;4.16361e-005;0.000463719
102;0.00260957;0.000260957;1.73262e-005;0.001345
